Country,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Germany,DEU,2.912502964,1.681468481,-0.197973835,-0.700116686,1.175088132,0.731707164,3.816441913,2.976455131,0.959879134,-5.693836336,4.179882499,3.925192705,0.418497594,0.437591303,2.209543431,1.491931528,2.229999868,2.601976005,1.267995232,0.555450888,-4.89654545
Ghana,GHA,3.70000004,4.000000099,4.499999578,5.200000074,5.599999989,5.900003916,6.399912502,4.346819164,9.149798975,4.844486998,7.899711889,14.04712363,9.292789405,7.312525007,2.856240199,2.12075931,3.373465725,8.128894916,6.200077672,6.507774788,0.414443468
Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,3.919770794,4.131611977,3.922871898,5.794531643,5.060992425,0.599142172,5.652433373,3.273746857,-0.33517238,-4.300733885,-5.479036989,-10.14931457,-7.082353942,-2.741772076,0.698145275,-0.411901538,-0.489852889,1.280824834,1.558977652,1.856675112,-8.247736115
Greenland,GRL,7.101596882,1.269035079,-0.971177311,4.430045721,6.906582837,4.987491771,5.555694901,2.352437981,6.166132702,0.865952329,1.735825059,-0.496519392,1.39419336,-1.298280693,4.742135673,-2.529318024,4.68195411,0.468546638,3.218027331,..,..
Grenada,GRD,4.887952137,-2.023900041,3.43732353,9.463973431,-0.647450316,13.27618833,-3.995328244,6.123450947,0.947542625,-6.613281348,-0.511262754,0.764976824,-1.155143735,2.351418773,7.344076522,6.443143733,3.735614132,4.442740288,4.141152838,1.981554122,-11.23075823
Guam,GUM,..,..,..,0.879314135,6.493789497,3.642316349,-3.652517275,0.717213115,2.034587996,0.438683948,2.263251936,0.077654824,2.13385063,1.690408357,1.793051924,0.825688073,0.181983621,0.890099909,-0.900252071,1.980377907,..
Guatemala,GTM,3.608868735,2.332574853,3.839287086,2.560377668,3.137916836,3.276026926,5.351397787,6.33771869,3.293524,0.476898107,2.884175428,4.163906883,2.974708568,3.694819199,4.443977583,4.092170816,2.677802555,3.079851491,3.322097997,3.866856575,-1.519328029
Guinea,GIN,2.503060562,3.658346471,5.164609466,1.24860126,2.340117313,2.997272562,1.189613767,6.817473228,4.133009273,-1.122641485,4.813362867,5.612108175,5.915288884,3.945683805,3.696541843,3.825921667,10.82062144,10.30000049,6.358491927,5.646175568,6.988559971
Guinea-Bissau,GNB,5.426987367,2.188906815,-0.985177525,0.568510176,2.76140199,4.266098931,2.309357998,3.262955456,3.203567307,3.368974958,4.6109709,8.084779734,-1.712683012,3.255904265,0.964560751,6.134082941,6.262805638,5.919176626,1.283736703,4.499999992,-2.399999999
Guyana,GUY,-1.363803903,2.279521659,1.132626962,-0.632225388,1.56335211,-1.950957595,5.12960934,7.191272927,1.605258868,3.877460611,3.779631771,5.339206232,5.382259989,3.653298082,1.686400111,0.687398061,3.807483433,3.734494656,4.440980724,5.352830787,43.47951463
Haiti,HTI,0.870059253,-0.334251278,0.924492705,3.359387776,-1.233191515,3.617614016,1.744562258,5.570125758,2.478297341,6.31289037,-3.805275685,6.154225158,0.553166536,3.085008621,3.401777226,1.616915115,1.722544838,2.286127252,1.667826664,-1.68198513,-3.373750496
Honduras,HND,7.291288159,2.723193273,3.754337861,4.547038052,6.232302961,6.050599222,6.567243552,6.188327167,4.23160011,-2.43162788,3.731140344,3.835690662,4.128687749,2.791559757,3.058080562,3.840079971,3.892972197,4.842913911,3.84499477,2.653066255,-8.964760184
"Hong Kong SAR, China",HKG,7.663462103,0.560880517,1.656652582,3.056254298,8.700065555,7.388176852,7.032611619,6.464804513,2.127917031,-2.459140302,6.767668588,4.814682268,1.700325218,3.101546766,2.762376595,2.387802316,2.169494388,3.791005986,2.846447939,-1.67975617,-6.081467784
Hungary,HUN,4.479191193,4.074092624,4.741283466,4.084523985,4.822853473,4.243622884,4.031013267,0.242181101,1.05828925,-6.699554137,1.12217825,1.937107794,-1.380623328,1.860751624,4.228950735,3.819428379,2.139995712,4.316780987,5.399709209,4.641297075,-4.956748517
Iceland,ISL,4.98504277,4.013497555,0.559519082,2.142688379,7.802399508,6.124438965,6.316993086,8.454860096,2.209496419,-7.66380956,-2.832774915,1.845779156,1.063636607,4.55246032,1.687215018,4.436663719,6.303687107,4.194948829,4.714813788,2.569012001,-6.649105413
India,IND,3.840991157,4.823966264,3.803975321,7.860381476,7.922936613,7.923430621,8.060732573,7.660815065,3.08669806,7.861888833,8.497584702,5.241315001,5.456388753,6.386106401,7.410227605,7.996253786,8.256305502,6.795383419,6.532989011,4.041554187,-7.964610411
Indonesia,IDN,4.920067747,3.643466447,4.499475391,4.780369122,5.030873945,5.692571304,5.500951785,6.345022227,6.0137036,4.628871183,6.223854181,6.169784208,6.030050653,5.557263689,5.006668426,4.8763223,5.033069183,5.069785901,5.17429154,5.018159715,-2.069543499
"Iran, Islamic Rep.",IRN,5.808898853,0.853698459,7.287152062,8.711978686,4.383944068,3.189804087,4.999795262,8.155773524,0.250856553,1.007385458,5.797938302,2.645717918,-7.44455703,-0.194073471,4.60341888,-1.32064512,13.39624262,3.755196452,-6.025971803,-6.78422367,1.66179376
Iraq,IRQ,16.92166569,1.761480089,-8.198469828,-36.65815267,53.38179418,1.671889622,5.646297801,1.885572141,8.228107104,3.379299094,6.402564845,7.5464712,13.93643017,7.628571185,0.19701671,4.722864019,13.78737302,-1.753660845,-1.213963399,4.445049635,-10.36509018
Ireland,IRL,9.413714404,5.310193448,5.899748945,3.000660705,6.782532149,5.736790257,4.991797639,5.318691807,-4.438432115,-5.074696445,1.773231442,0.601090918,0.127807516,1.226853576,8.640445512,25.17640232,1.993760193,9.129439947,8.516395723,5.565201165,3.417815527
Isle of Man,IMN,5.300001526,5.399999031,6.199998195,5.999999688,5.200003104,5.899999336,7.699998713,7.50000023,4.900001001,2.100000272,3.399998424,1.999999382,7.303757302,4.141718551,5.155303088,-0.385798408,6.952311475,2.837739696,2.213405599,..,..
Israel,ISR,7.546501633,0.099450952,0.04897357,1.123803391,4.20130921,3.829403549,5.593636168,5.742456602,2.999678667,0.925296246,5.58024614,4.626407467,2.430918053,4.199807588,3.92086116,2.218113151,3.826574872,3.555612725,3.479370319,3.450279281,-2.439985916
Italy,ITA,3.786955143,1.951371556,0.253942999,0.138626891,1.423594158,0.817848974,1.790639681,1.48707298,-0.962012841,-5.280937208,1.713295839,0.707333347,-2.980905768,-1.841065451,-0.004547542,0.778304351,1.293462732,1.667859041,0.941737193,0.287449937,-8.871146348
Jamaica,JAM,0.878703548,1.344929564,1.997290944,3.666317593,1.3237251,0.893797936,2.89912535,1.431954037,-0.811736703,-4.345301858,-1.457147209,1.730376267,-0.61363604,0.517686013,0.689822357,0.921487125,1.375223064,0.997123062,1.889923681,0.892291654,-10.2
Japan,JPN,2.779632825,0.406335903,0.117992777,1.528220148,2.204687882,1.662670405,1.420006556,1.654183881,-1.0935406,-5.416412797,4.191739259,-0.11542134,1.495089586,2.000267841,0.374719476,1.222921041,0.521944455,2.168290737,0.323207338,0.270308582,..
